,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
47,60.74815273,-43.59782894,3718,7,1148,9,6475,8,,,,,,,,,,,,
4072,63.22289496,-67.83726067,6575,6,7078,9,1324,7,3671,13,,,,,,,,,,
5210,46.99094232,-54.2889847,5958,10,1074,5,,,,,,,,,,,,,,
4559,20.06087528,-75.20468532,586,11,203,5,5512,8,,,,,,,,,,,,
6817,64.8048989,-83.589731,1992,6,,,,,,,,,,,,,,,,
5526,19.07870442,-87.67942258,7494,5,2711,7,1954,12,,,,,,,,,,,,
262,19.22805251,-87.61323998,95,9,3923,15,6908,10,,,,,,,,,,,,
6207,19.42422267,-87.54849839,1829,11,,,,,,,,,,,,,,,,
2847,19.5766082,-87.50560658,6251,7,1855,5,104,10,,,,,,,,,,,,
7093,19.68505916,-87.47518308,4313,15,1167,5,,,,,,,,,,,,,,
4439,19.7618058,-87.45238216,3923,11,6913,7,7649,8,,,,,,,,,,,,
777,19.81606646,-87.43514295,4039,12,7379,8,986,15,5613,15,,,,,,,,,,
2065,19.86397008,-87.41891896,6653,11,5481,8,955,11,2611,11,,,,,,,,,,
579,19.92874519,-87.39553239,6782,11,2310,8,,,,,,,,,,,,,,
367,20.01958111,-87.36043225,7624,8,1874,13,7258,10,7903,14,3007,10,,,,,,,,
4554,20.14623196,-87.3084658,6681,11,1667,8,7709,12,893,5,,,,,,,,,,
983,20.31644784,-87.23702708,508,11,,,,,,,,,,,,,,,,
4003,20.45794398,-87.18028258,6595,8,6257,6,,,,,,,,,,,,,,
5669,20.55971397,-87.14304615,1761,12,8025,9,117,15,,,,,,,,,,,,
6255,20.63270761,-87.11895431,1718,9,,,,,,,,,,,,,,,,
4571,20.69065321,-87.10169299,6514,15,7220,8,,,,,,,,,,,,,,
2456,20.76571456,-87.08204619,4580,6,3212,12,202,10,4795,11,6727,12,2994,8,,,,,,
3269,20.87260935,-87.05992202,2224,14,2730,9,,,,,,,,,,,,,,
7340,21.02454158,-87.04283398,5342,15,6850,11,185,13,,,,,,,,,,,,
7837,21.23772671,-87.06146941,4771,9,746,8,5623,11,,,,,,,,,,,,
1978,21.43464784,-87.18159382,7544,11,1737,12,7363,12,,,,,,,,,,,,
7889,21.53576962,-87.40403551,2612,5,4593,7,,,,,,,,,,,,,,
155,21.56331178,-87.59175005,6966,10,1283,12,7400,8,4958,15,8157,13,6297,13,,,,,,
6989,21.56803591,-87.72679459,1154,15,3471,9,3007,5,,,,,,,,,,,,
4182,21.5662041,-87.82269747,6991,10,8147,11,3317,12,,,,,,,,,,,,
3802,21.56282532,-87.8908182,7265,11,1599,5,1764,12,,,,,,,,,,,,
3532,21.55948584,-87.93970245,2158,8,8176,12,,,,,,,,,,,,,,
2293,21.55526568,-87.99074125,5333,8,508,6,7495,12,3634,5,2404,13,5401,7,5543,5,5096,10,,
523,21.54818514,-88.06225736,3752,15,7400,9,203,15,3136,13,204,7,,,,,,,,
1843,21.53618812,-88.16251993,6648,9,383,8,,,,,,,,,,,,,,
1456,21.51591924,-88.30312952,273,6,6630,11,6999,13,3274,14,2383,12,,,,,,,,
5231,21.48706355,-88.47478763,8147,6,162,11,5975,11,1992,6,,,,,,,,,,
3485,21.46357188,-88.60319377,204,8,1612,11,,,,,,,,,,,,,,
6550,21.44641046,-88.6942651,277,9,6914,11,2163,5,,,,,,,,,,,,
5110,21.43413914,-88.75900362,46,10,3969,11,,,,,,,,,,,,,,
6681,21.42542884,-88.80510574,1785,6,4554,11,7147,13,4854,15,,,,,,,,,,
6073,21.41927869,-88.83785684,204,7,,,,,,,,,,,,,,,,
