,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2589,60.74815273,-43.59782894,292,7,6751,6,6845,6,5462,13,4222,5,3186,15,1596,6,,,,
4401,63.22289496,-67.83726067,2656,15,3809,9,5239,8,,,,,,,,,,,,
4526,46.99094232,-54.2889847,7701,14,2987,15,6648,12,2867,11,,,,,,,,,,
2253,20.06087528,-75.20468532,4895,11,2258,7,4157,13,,,,,,,,,,,,
2946,64.8048989,-83.589731,3700,6,6390,15,2987,9,6845,7,5764,13,3214,13,,,,,,
1492,19.07870442,-87.67942258,7912,14,7884,12,4059,5,,,,,,,,,,,,
5959,19.22805251,-87.61323998,1015,6,7701,14,6648,12,6390,14,7230,14,,,,,,,,
1523,19.42422267,-87.54849839,2998,11,5147,14,,,,,,,,,,,,,,
2988,19.5766082,-87.50560658,6648,6,5387,12,7912,12,,,,,,,,,,,,
2482,19.68505916,-87.47518308,316,8,1018,11,,,,,,,,,,,,,,
6390,19.7618058,-87.45238216,2946,15,5959,14,6751,9,2258,15,,,,,,,,,,
2073,19.81606646,-87.43514295,3825,6,1405,6,5387,9,997,9,5644,11,4283,5,7500,8,5147,7,,
6168,19.86397008,-87.41891896,3700,14,5147,13,2960,14,1485,14,773,11,,,,,,,,
4983,19.92874519,-87.39553239,7997,9,7230,10,1094,9,3404,7,5792,12,2987,5,2656,11,5764,15,,
2998,20.01958111,-87.36043225,1523,11,7884,6,4157,12,,,,,,,,,,,,
7884,20.14623196,-87.3084658,1492,12,2998,6,3214,8,5644,5,6277,6,2656,9,,,,,,
3214,20.31644784,-87.23702708,2946,13,7884,8,4084,13,3504,8,,,,,,,,,,
3825,20.45794398,-87.18028258,2073,6,5462,7,2925,6,5644,9,,,,,,,,,,
7230,20.55971397,-87.14304615,5959,14,4983,10,6845,11,99,5,7997,11,,,,,,,,
5589,20.63270761,-87.11895431,4721,10,5804,10,7710,7,2660,6,1015,6,292,13,,,,,,
4853,20.69065321,-87.10169299,5408,6,7500,11,,,,,,,,,,,,,,
5007,20.76571456,-87.08204619,5461,7,1284,6,5302,14,1807,14,,,,,,,,,,
3404,20.87260935,-87.05992202,4983,7,2740,6,1405,15,5764,14,7500,12,263,12,,,,,,
7087,21.02454158,-87.04283398,4059,14,5110,13,4882,10,7710,9,4938,7,2258,10,4926,6,,,,
5804,21.23772671,-87.06146941,5589,10,6743,14,4721,14,404,6,,,,,,,,,,
6845,21.43464784,-87.18159382,2589,6,2946,7,7230,11,3809,15,115,14,7701,15,5462,10,,,,
49,21.53576962,-87.40403551,7701,5,,,,,,,,,,,,,,,,
4895,21.56331178,-87.59175005,2253,11,2740,12,5239,14,7701,8,6269,15,,,,,,,,
2867,21.56803591,-87.72679459,4526,11,3700,9,,,,,,,,,,,,,,
316,21.5662041,-87.82269747,2482,8,,,,,,,,,,,,,,,,
6269,21.56282532,-87.8908182,4895,15,292,7,,,,,,,,,,,,,,
6648,21.55948584,-87.93970245,4526,12,5959,12,2988,6,263,8,3988,7,773,8,,,,,,
2987,21.55526568,-87.99074125,4526,15,2946,9,4983,5,4283,13,,,,,,,,,,
292,21.54818514,-88.06225736,2589,7,5589,13,6269,7,4721,6,5644,7,99,14,,,,,,
5831,21.53618812,-88.16251993,7710,11,7500,7,1405,5,,,,,,,,,,,,
2925,21.51591924,-88.30312952,3825,6,,,,,,,,,,,,,,,,
5431,21.48706355,-88.47478763,2258,15,5147,7,,,,,,,,,,,,,,
4066,21.46357188,-88.60319377,7500,14,4283,9,3504,11,4402,6,,,,,,,,,,
5644,21.44641046,-88.6942651,2073,11,7884,5,3825,9,292,7,6620,5,5891,11,2656,14,2199,13,,
4938,21.43413914,-88.75900362,7087,7,,,,,,,,,,,,,,,,
4084,21.42542884,-88.80510574,3214,13,599,11,4157,13,,,,,,,,,,,,
