,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11
0,20.06087528,-75.20468532,47,83,17,69,38,46,31,53,,,,
47,18.27725192,-70.33603382,0,83,1,45,4,74,42,90,,,,
17,15.11197549,-83.44033382,0,69,42,31,16,89,27,44,23,67,46,87
38,15.21592749,-83.51317345,0,46,,,,,,,,,,
31,15.33271474,-83.62251777,0,53,1,37,15,63,24,71,26,85,37,43
1,15.46116054,-83.78397525,47,45,31,37,16,57,15,50,2,24,,
4,15.54654054,-83.92009901,47,74,42,65,30,32,43,53,6,30,,
42,15.60111125,-84.02091443,47,90,17,31,4,65,23,90,3,53,11,73
16,15.63721777,-84.0939511,17,89,1,57,10,61,28,37,40,90,,
27,15.66176531,-84.1465548,17,44,3,93,,,,,,,,
23,15.67869281,-84.18422125,17,67,42,90,15,40,34,100,,,,
46,15.69423482,-84.21980565,17,87,43,31,13,53,29,100,45,10,,
15,15.71521036,-84.26944707,31,63,1,50,23,40,30,26,14,15,32,52
24,15.7435638,-84.33983004,31,71,43,80,,,,,,,,
26,15.78113097,-84.43987788,31,85,30,62,43,64,20,46,7,14,,
37,15.82923106,-84.58232917,31,43,6,47,34,22,45,80,25,24,,
2,15.87760809,-84.74856888,1,24,10,21,5,92,,,,,,
30,15.9080666,-84.87110802,4,32,15,26,26,62,6,89,,,,
43,15.92719998,-84.95876885,4,53,46,31,24,80,26,64,13,19,41,61
6,15.93953001,-85.02140484,4,30,37,47,30,89,,,,,,
3,15.94764673,-85.06608391,42,53,27,93,11,73,,,,,,
11,15.95452153,-85.10660628,42,73,3,73,,,,,,,,
10,15.96325254,-85.16258125,16,61,2,21,13,36,14,40,,,,
28,15.9740292,-85.24143728,16,37,36,13,9,62,49,29,,,,
40,15.98617301,-85.3529474,16,90,13,94,29,48,,,,,,
34,15.99696112,-85.51034928,23,100,37,22,33,97,44,78,,,,
13,15.99975089,-85.69168572,46,53,43,19,10,36,40,94,5,36,39,89
29,15.99494565,-85.82340783,46,100,40,48,7,75,49,10,8,17,18,30
45,15.98785881,-85.91685349,46,10,37,80,49,13,18,24,,,,
14,15.98090618,-85.9830884,15,15,10,40,49,87,,,,,,
32,15.9738558,-86.03829652,15,52,25,52,39,31,,,,,,
20,15.96284002,-86.11189612,26,46,33,58,39,72,35,22,,,,
7,15.94492595,-86.21512459,26,14,29,75,5,87,9,92,33,93,,
25,15.91684983,-86.35963996,37,24,32,52,5,61,18,90,,,,
5,15.87856026,-86.55312069,2,92,13,36,7,87,25,61,36,94,,
41,15.85114359,-86.71253428,43,61,9,33,33,17,21,69,,,,
36,15.83625937,-86.82674975,28,13,5,94,39,16,,,,,,
9,15.82894506,-86.90902619,28,62,7,92,41,33,48,84,,,,
49,15.82479654,-86.99422187,28,29,29,10,45,13,14,87,,,,
33,15.82405135,-87.11380382,34,97,20,58,7,93,41,17,,,,
44,15.83037481,-87.28196213,34,78,12,92,,,,,,,,
39,15.84284949,-87.466583,13,89,32,31,20,72,36,16,18,42,,
8,15.8525613,-87.59918617,29,17,19,47,,,,,,,,
18,15.85866469,-87.69349773,29,30,45,24,25,90,39,42,,,,
35,15.86217841,-87.7606154,20,22,,,,,,,,,,
21,15.86410481,-87.80830632,41,69,,,,,,,,,,
48,15.86525177,-87.84680971,9,84,,,,,,,,,,
12,15.86625042,-87.89735922,44,92,22,18,,,,,,,,
19,15.86699389,-87.96849649,8,47,,,,,,,,,,
22,15.86761735,-88.06844281,12,18,,,,,,,,,,
