,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
5668,60.74815273,-43.59782894,1887,8,4853,15,1486,11,1615,7,170,7,,,,,,,,
4393,63.22289496,-67.83726067,4191,11,2723,11,327,13,1599,5,,,,,,,,,,
2839,46.99094232,-54.2889847,5499,9,6350,14,6527,11,5287,13,2556,14,3290,15,298,14,4220,5,3104,8
1228,20.06087528,-75.20468532,3929,12,4225,6,,,,,,,,,,,,,,
4570,64.8048989,-83.589731,1827,8,1819,11,3091,12,,,,,,,,,,,,
2416,19.07870442,-87.67942258,3233,11,4225,6,,,,,,,,,,,,,,
5801,19.22805251,-87.61323998,5192,14,6588,10,,,,,,,,,,,,,,
1876,19.42422267,-87.54849839,3526,7,98,13,3215,6,,,,,,,,,,,,
3978,19.5766082,-87.50560658,4078,13,5943,7,2560,11,,,,,,,,,,,,
5154,19.68505916,-87.47518308,1189,7,,,,,,,,,,,,,,,,
1934,19.7618058,-87.45238216,4987,14,3546,15,3992,14,6194,13,,,,,,,,,,
1189,19.81606646,-87.43514295,500,12,6249,7,5154,7,1721,6,,,,,,,,,,
3968,19.86397008,-87.41891896,6172,11,,,,,,,,,,,,,,,,
6378,19.92874519,-87.39553239,5103,7,4340,14,2751,8,,,,,,,,,,,,
262,20.01958111,-87.36043225,1513,6,2320,12,,,,,,,,,,,,,,
1683,20.14623196,-87.3084658,442,13,6446,11,,,,,,,,,,,,,,
1612,20.31644784,-87.23702708,1343,15,5137,8,6311,13,5955,15,2103,15,,,,,,,,
5446,20.45794398,-87.18028258,225,8,,,,,,,,,,,,,,,,
2866,20.55971397,-87.14304615,4179,9,,,,,,,,,,,,,,,,
360,20.63270761,-87.11895431,541,5,,,,,,,,,,,,,,,,
201,20.69065321,-87.10169299,4031,13,655,11,2204,10,,,,,,,,,,,,
4408,20.76571456,-87.08204619,2556,13,1298,14,,,,,,,,,,,,,,
856,20.87260935,-87.05992202,1940,10,554,6,833,5,,,,,,,,,,,,
610,21.02454158,-87.04283398,2379,6,2320,12,,,,,,,,,,,,,,
2401,21.23772671,-87.06146941,2928,11,663,15,,,,,,,,,,,,,,
2536,21.43464784,-87.18159382,3537,10,4450,10,,,,,,,,,,,,,,
2810,21.53576962,-87.40403551,3827,10,1374,12,,,,,,,,,,,,,,
107,21.56331178,-87.59175005,4853,6,2004,5,4107,7,5103,7,,,,,,,,,,
2635,21.56803591,-87.72679459,2973,12,1036,15,2750,7,5429,13,4412,14,1955,6,,,,,,
298,21.5662041,-87.82269747,5924,5,4866,12,2839,14,,,,,,,,,,,,
3985,21.56282532,-87.8908182,6347,6,5800,14,2607,12,,,,,,,,,,,,
51,21.55948584,-87.93970245,2704,10,1887,8,6246,7,2641,12,,,,,,,,,,
5129,21.55526568,-87.99074125,5199,7,5875,12,5818,15,1647,15,,,,,,,,,,
456,21.54818514,-88.06225736,917,7,1698,9,1599,12,3391,9,5955,5,,,,,,,,
459,21.53618812,-88.16251993,4406,8,4031,6,5697,9,,,,,,,,,,,,
4003,21.51591924,-88.30312952,2222,6,2560,11,3071,15,2138,11,4273,8,5283,5,,,,,,
