NodeID,Latitude,Longitude,Neighbor1,Distance1,Neighbor2,Distance2,Neighbor3,Distance3,Neighbor4,Distance4,Neighbor5,Distance5,Neighbor6,Distance6
1803,60.7481527283,-43.5978289403,20011,19,41251,24,19494,15,N/A,N/A,N/A,N/A,N/A,N/A
1994,63.2228949592,-67.8372606729,21207,20,41098,36,21410,17,N/A,N/A,N/A,N/A,N/A,N/A
2209,46.9909423243,-54.2889847015,22791,17,22715,11,42675,32,N/A,N/A,N/A,N/A,N/A,N/A
2222,20.0608752794,-75.2046853156,22976,10,37469,16,22792,14,N/A,N/A,N/A,N/A,N/A,N/A
2347,64.8048989038,-83.5897310027,39784,27,23798,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11254,19.078704418,-87.6794225833,11255,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11255,19.2280525127,-87.6132399792,11256,12,41107,28,11254,9,N/A,N/A,N/A,N/A,N/A,N/A
11256,19.4242226748,-87.5484983897,11255,12,11257,9,41107,19,N/A,N/A,N/A,N/A,N/A,N/A
11257,19.5766082008,-87.5056065773,11256,9,11258,6,41107,15,N/A,N/A,N/A,N/A,N/A,N/A
11258,19.6850591634,-87.4751830784,11259,4,11257,6,41107,15,N/A,N/A,N/A,N/A,N/A,N/A
11259,19.7618058008,-87.4523821644,11258,4,41107,17,11260,3,41478,8,N/A,N/A,N/A,N/A
11260,19.8160664554,-87.4351429493,11259,3,11261,3,41478,5,N/A,N/A,N/A,N/A,N/A,N/A
11261,19.8639700759,-87.4189189624,11262,4,11260,3,41478,3,N/A,N/A,N/A,N/A,N/A,N/A
11262,19.9287451948,-87.3955323907,11263,5,11261,4,41478,4,N/A,N/A,N/A,N/A,N/A,N/A
11263,20.0195811117,-87.3604322528,35984,10,41478,9,11262,5,11264,8,N/A,N/A,N/A,N/A
11264,20.1462319638,-87.3084657976,11263,8,35984,8,11265,10,N/A,N/A,N/A,N/A,N/A,N/A
11265,20.3164478426,-87.2370270803,11266,9,11264,10,38990,16,35984,15,N/A,N/A,N/A,N/A
11266,20.4579439844,-87.1802825752,11265,9,11267,6,38990,9,N/A,N/A,N/A,N/A,N/A,N/A
11267,20.5597139747,-87.1430461533,11266,6,11268,4,38990,7,N/A,N/A,N/A,N/A,N/A,N/A
11268,20.6327076078,-87.1189543144,11267,4,11269,3,38990,9,N/A,N/A,N/A,N/A,N/A,N/A
11269,20.6906532096,-87.1016929926,11270,4,11268,3,38990,11,N/A,N/A,N/A,N/A,N/A,N/A
11270,20.7657145594,-87.0820461921,11271,6,42635,26,11269,4,38990,15,N/A,N/A,N/A,N/A
11271,20.8726093539,-87.0599220216,11272,9,42635,21,11270,6,N/A,N/A,N/A,N/A,N/A,N/A
11272,21.0245415756,-87.0428339806,11271,9,11273,12,42635,18,N/A,N/A,N/A,N/A,N/A,N/A
11273,21.2377267105,-87.0614694141,11272,12,11274,13,42635,23,37620,36,N/A,N/A,N/A,N/A
11274,21.434647842,-87.1815938207,11273,13,11275,13,37620,27,N/A,N/A,N/A,N/A,N/A,N/A
11275,21.5357696245,-87.4040355136,11274,13,37620,30,11276,10,36798,25,N/A,N/A,N/A,N/A
11276,21.5633117846,-87.5917500513,11275,10,11277,7,36798,18,N/A,N/A,N/A,N/A,N/A,N/A
11277,21.5680359131,-87.726794588,11278,5,11276,7,36798,17,N/A,N/A,N/A,N/A,N/A,N/A
11278,21.5662041033,-87.8226974726,11279,3,42273,8,11277,5,36798,19,N/A,N/A,N/A,N/A
11279,21.5628253235,-87.8908182012,11280,2,42273,5,11278,3,N/A,N/A,N/A,N/A,N/A,N/A
11280,21.5594858379,-87.9397024451,11279,2,42273,4,11281,2,N/A,N/A,N/A,N/A,N/A,N/A
11281,21.5552656849,-87.9907412471,11280,2,38625,4,11282,4,42273,4,N/A,N/A,N/A,N/A
11282,21.5481851351,-88.0622573619,11281,4,11283,5,38625,3,N/A,N/A,N/A,N/A,N/A,N/A
11283,21.5361881237,-88.162519928,11282,5,38625,7,41610,14,11284,7,N/A,N/A,N/A,N/A
11284,21.5159192395,-88.3031295244,41610,15,11283,7,11285,9,N/A,N/A,N/A,N/A,N/A,N/A
11285,21.4870635511,-88.4747876315,40911,13,41610,21,11284,9,11286,7,N/A,N/A,N/A,N/A
11286,21.4635718832,-88.6031937734,40911,7,11287,5,11285,7,N/A,N/A,N/A,N/A,N/A,N/A
11287,21.4464104609,-88.6942651049,40911,6,11288,3,11286,5,N/A,N/A,N/A,N/A,N/A,N/A
11288,21.4341391433,-88.7590036242,40911,8,11287,3,11289,2,N/A,N/A,N/A,N/A,N/A,N/A
11289,21.4254288377,-88.8051057424,40911,9,39672,5,11290,1,11288,2,N/A,N/A,N/A,N/A
11290,21.4192786856,-88.8378568369,39672,3,11289,1,11291,1,N/A,N/A,N/A,N/A,N/A,N/A
11291,21.4149361487,-88.8611276671,39672,2,11290,1,11292,0,N/A,N/A,N/A,N/A,N/A,N/A
11292,21.4118676299,-88.8776613207,39672,2,11291,0,11293,0,N/A,N/A,N/A,N/A,N/A,N/A
11293,21.4095343463,-88.8902904562,39672,2,11292,0,11294,0,N/A,N/A,N/A,N/A,N/A,N/A
11294,21.4066592394,-88.9059191516,11295,1,39672,2,11293,0,N/A,N/A,N/A,N/A,N/A,N/A
11295,21.4026302387,-88.9279186076,37767,4,39672,3,11296,1,11294,1,N/A,N/A,N/A,N/A
11296,21.3969800779,-88.9588881666,11295,1,37767,3,11297,2,N/A,N/A,N/A,N/A,N/A,N/A
11297,21.3890342033,-89.0024586528,37767,2,11296,2,11298,3,N/A,N/A,N/A,N/A,N/A,N/A
11298,21.3777685848,-89.0636622668,37767,4,39088,13,11297,3,11299,4,N/A,N/A,N/A,N/A
11299,21.3614134537,-89.1497071445,39088,12,11298,4,11300,6,N/A,N/A,N/A,N/A,N/A,N/A
11300,21.3365984236,-89.2702045952,39088,15,11299,6,11301,9,N/A,N/A,N/A,N/A,N/A,N/A
11301,21.2956056168,-89.4381201447,39088,22,37706,25,11300,9,11302,10,N/A,N/A,N/A,N/A
11302,21.2379198962,-89.6185183589,11303,7,37706,20,11301,10,N/A,N/A,N/A,N/A,N/A,N/A
11303,21.1853403254,-89.7434008726,11304,6,37706,19,11302,7,N/A,N/A,N/A,N/A,N/A,N/A
11304,21.134951478,-89.8394640816,11303,6,11305,8,37706,21,40268,15,N/A,N/A,N/A,N/A
11305,21.0587473175,-89.9571301546,11304,8,11306,11,40268,10,N/A,N/A,N/A,N/A,N/A,N/A
11306,20.9333201389,-90.1080816227,42007,13,11305,11,11307,11,40268,13,N/A,N/A,N/A,N/A
11307,20.784301145,-90.2454185247,42007,10,11306,11,11308,8,N/A,N/A,N/A,N/A,N/A,N/A
11308,20.6685383901,-90.3306966252,42007,15,11307,8,11309,5,37134,21,N/A,N/A,N/A,N/A
11309,20.5824757038,-90.3846067134,11310,4,11308,5,37134,17,N/A,N/A,N/A,N/A,N/A,N/A
11310,20.5142360405,-90.4223635433,11311,5,11309,4,37134,16,N/A,N/A,N/A,N/A,N/A,N/A
11311,20.4267517256,-90.4653754936,11312,8,11310,5,37134,17,N/A,N/A,N/A,N/A,N/A,N/A
11312,20.3011373691,-90.5195435661,11311,8,11313,11,37134,20,N/A,N/A,N/A,N/A,N/A,N/A
11313,20.1235815449,-90.5876890963,37264,29,11312,11,11314,10,37134,29,N/A,N/A,N/A,N/A
11314,19.962174962,-90.6480985127,37264,21,11313,10,11315,7,N/A,N/A,N/A,N/A,N/A,N/A
11315,19.8482967012,-90.6935529252,37264,17,11314,7,11316,5,N/A,N/A,N/A,N/A,N/A,N/A
11316,19.7683365142,-90.7283959721,37264,15,11315,5,11317,3,N/A,N/A,N/A,N/A,N/A,N/A
11317,19.710010862,-90.7559671253,37264,15,11316,3,11318,4,N/A,N/A,N/A,N/A,N/A,N/A
11318,19.6427430037,-90.7905054874,11319,6,37264,15,11317,4,N/A,N/A,N/A,N/A,N/A,N/A
11319,19.550212847,-90.8433330068,37264,18,11320,8,11318,6,N/A,N/A,N/A,N/A,N/A,N/A
11320,19.424778064,-90.9263742178,11319,8,37264,23,11321,12,N/A,N/A,N/A,N/A,N/A,N/A
11321,19.2657950576,-91.0559978505,37264,33,11322,10,39500,24,11320,12,N/A,N/A,N/A,N/A
11322,19.1439701408,-91.1817976582,11321,10,11323,7,39500,17,N/A,N/A,N/A,N/A,N/A,N/A
11323,19.0665101522,-91.2800615411,11322,7,39500,14,11324,6,N/A,N/A,N/A,N/A,N/A,N/A
11324,19.0079653921,-91.3685298672,11323,6,39500,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11387,19.1071616494,-96.0569044371,39658,11,11388,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11388,19.2172990503,-96.1397974649,39658,11,11387,8,11389,5,N/A,N/A,N/A,N/A,N/A,N/A
11389,19.2977581566,-96.1954001663,39658,14,39971,8,11388,5,11390,4,N/A,N/A,N/A,N/A
11390,19.3555930062,-96.233676874,11391,2,39971,4,11389,4,N/A,N/A,N/A,N/A,N/A,N/A
11391,19.3969803951,-96.2604655655,11392,2,39971,3,11390,2,N/A,N/A,N/A,N/A,N/A,N/A
11392,19.4265521618,-96.279385234,11391,2,11393,1,39971,2,N/A,N/A,N/A,N/A,N/A,N/A
11393,19.4475601456,-96.2927434694,39971,3,40394,1,11394,1,11392,1,N/A,N/A,N/A,N/A
11394,19.4625139125,-96.3022206623,11393,1,40394,0,11395,0,N/A,N/A,N/A,N/A,N/A,N/A
11395,19.4731561528,-96.3089531224,40394,1,11394,0,11396,0,N/A,N/A,N/A,N/A,N/A,N/A
11396,19.4807167099,-96.3137311826,37983,1,40394,1,11395,0,11397,0,N/A,N/A,N/A,N/A
11397,19.4861079604,-96.3171362971,37983,1,11396,0,11398,0,N/A,N/A,N/A,N/A,N/A,N/A
11398,19.4912658533,-96.320392709,37983,1,11399,0,11397,0,N/A,N/A,N/A,N/A,N/A,N/A
11399,19.4984450442,-96.3249232385,37983,1,11400,0,11398,0,N/A,N/A,N/A,N/A,N/A,N/A
11400,19.5085464927,-96.3312940515,11399,0,37983,1,11401,0,N/A,N/A,N/A,N/A,N/A,N/A
11401,19.5227442084,-96.3402410709,37983,2,11400,0,11402,1,N/A,N/A,N/A,N/A,N/A,N/A
11402,19.5427289956,-96.352821626,37983,3,11401,1,11403,1,39361,9,N/A,N/A,N/A,N/A
11403,19.5708810796,-96.3705199472,39361,8,11402,1,11404,2,N/A,N/A,N/A,N/A,N/A,N/A
11404,19.6104695513,-96.3953690927,39361,9,11403,2,11405,3,N/A,N/A,N/A,N/A,N/A,N/A
11405,19.6662301471,-96.4303139692,39361,11,11404,3,11406,5,N/A,N/A,N/A,N/A,N/A,N/A
11406,19.7445991448,-96.4793783972,11407,7,39361,15,11405,5,37838,24,N/A,N/A,N/A,N/A
11407,19.8549555733,-96.5485400888,11408,8,11406,7,37838,18,N/A,N/A,N/A,N/A,N/A,N/A
11408,19.9783070137,-96.6262431853,11407,8,11409,6,37838,15,N/A,N/A,N/A,N/A,N/A,N/A
11409,20.0669465141,-96.6825441832,11408,6,11410,4,37838,16,N/A,N/A,N/A,N/A,N/A,N/A
11410,20.1298325145,-96.7228139081,37647,6,11409,4,11411,3,37838,18,N/A,N/A,N/A,N/A
11411,20.1744564663,-96.7515875172,37647,3,11410,3,11412,2,N/A,N/A,N/A,N/A,N/A,N/A
11412,20.206129898,-96.7721228312,37647,2,11411,2,11413,1,N/A,N/A,N/A,N/A,N/A,N/A
11413,20.2286337962,-96.7867742752,37647,2,11412,1,11414,1,N/A,N/A,N/A,N/A,N/A,N/A
11414,20.2446093758,-96.7972078585,37647,3,11415,0,11413,1,N/A,N/A,N/A,N/A,N/A,N/A
11415,20.2559687904,-96.8046436505,37647,3,11416,0,11414,0,41830,2,N/A,N/A,N/A,N/A
11416,20.2640358412,-96.8099330842,11415,0,11417,0,41830,1,N/A,N/A,N/A,N/A,N/A,N/A
11417,20.2706005151,-96.8142428887,11416,0,11418,0,41830,1,N/A,N/A,N/A,N/A,N/A,N/A
11418,20.2792604856,-96.8199355613,11417,0,11419,0,41830,1,N/A,N/A,N/A,N/A,N/A,N/A
11419,20.2914416732,-96.8279562629,11418,0,11420,1,41830,1,N/A,N/A,N/A,N/A,N/A,N/A
11420,20.3085917168,-96.839273292,11419,1,11421,1,41830,1,N/A,N/A,N/A,N/A,N/A,N/A
11421,20.3326462701,-96.8551897739,41830,3,38074,7,11420,1,11422,2,N/A,N/A,N/A,N/A
