,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
325,30.70165737,31.6050909,1279,11,2277,10,772,8,1036,7,3641,14,920,5,,,,,,
2649,8.832785913,-80.87265882,3622,5,2153,14,2646,7,,,,,,,,,,,,
3165,60.74815273,-43.59782894,2177,9,115,6,1683,14,3389,13,,,,,,,,,,
1705,63.22289496,-67.83726067,3542,14,1628,14,1235,15,,,,,,,,,,,,
2299,51.94391808,0.666999747,1605,5,2275,6,115,13,772,13,2443,11,464,6,,,,,,
1479,46.99094232,-54.2889847,295,9,386,6,3960,5,,,,,,,,,,,,
3645,20.06087528,-75.20468532,1439,9,2177,13,1683,14,2275,10,2932,6,,,,,,,,
644,63.80468093,-16.98672617,2205,8,1095,13,,,,,,,,,,,,,,
2843,52.23130755,-7.01660554,1683,12,2685,8,295,12,,,,,,,,,,,,
500,18.27725192,-70.33603382,2130,9,139,7,,,,,,,,,,,,,,
2275,64.8048989,-83.589731,2299,6,3645,10,2277,10,1628,8,,,,,,,,,,
3869,39.50032865,9.393928094,1178,7,156,8,2685,6,2601,12,1655,13,2222,14,3708,8,1095,11,,
2051,64.36653935,35.97016129,1605,14,1095,7,2393,5,1126,6,3199,13,,,,,,,,
2166,64.43253344,35.82606658,2435,10,2932,7,2401,9,2574,15,1387,14,115,12,3622,12,2443,15,,
2205,64.53041465,35.63604644,644,8,386,6,1235,14,,,,,,,,,,,,
386,64.67298085,35.3961987,1479,6,2205,6,464,10,1655,15,3120,5,3622,11,,,,,,
464,64.8055848,35.19926902,2299,6,386,10,3486,15,1,6,,,,,,,,,,
1178,64.90141263,35.06714267,3869,7,1036,10,2086,9,1655,11,,,,,,,,,,
2932,64.97022372,34.9759198,3645,6,2166,7,772,6,2229,13,2435,9,,,,,,,,
1374,64.96735064,11.49470913,852,6,1394,12,2241,10,2478,8,1439,5,1279,6,,,,,,
2378,64.91311831,11.4053551,502,5,3708,11,,,,,,,,,,,,,,
504,64.87455488,11.34174975,735,9,2589,8,3047,13,558,8,,,,,,,,,,
2574,64.84711413,11.29654325,2166,15,2881,5,156,13,2443,10,3708,6,2238,10,,,,,,
688,64.82765186,11.26453881,3960,14,158,15,2357,12,2241,10,1528,12,1628,8,353,15,,,,
1394,64.8137733,11.24175702,1374,12,2433,7,852,12,2940,5,,,,,,,,,,
772,64.80391101,11.22559251,325,8,2299,13,2932,6,2153,10,3404,14,2177,6,1036,12,,,,
1569,64.79690928,11.2141303,2177,7,,,,,,,,,,,,,,,,
3542,64.79192551,11.20597911,1705,14,2881,13,2646,10,2177,14,1765,12,,,,,,,,
3389,64.7883815,11.20018666,3165,13,1605,5,,,,,,,,,,,,,,
2130,64.78514565,11.19490086,500,9,,,,,,,,,,,,,,,,
1765,64.78068557,11.18761991,3542,12,1279,12,,,,,,,,,,,,,,
1683,64.77440316,11.17737297,3165,14,3645,14,2843,12,2238,7,2839,6,3199,9,,,,,,
115,64.7655706,11.16298367,3165,6,2299,13,2166,12,2222,14,,,,,,,,,,
1279,64.75313225,11.14275232,325,11,1374,6,1765,12,852,7,1655,11,2229,14,,,,,,
2781,64.73561242,11.1143153,2241,13,3708,6,156,14,,,,,,,,,,,,
2086,64.71094215,11.074378,1178,9,,,,,,,,,,,,,,,,
1875,64.67631699,11.01850047,1628,14,1095,15,,,,,,,,,,,,,,
